0.000	2.030	D:maj7
2.030	3.830	G:7
3.830	5.635	D:maj
5.635	7.455	E:min7
7.455	9.260	D:maj7
9.260	10.380	G:maj
10.380	11.050	E:min
11.050	12.855	D:maj7
12.855	13.540	G:maj
13.540	14.685	E:min7
14.685	18.300	D:maj7
18.300	19.875	B:min7
19.875	21.915	D:maj7
21.915	23.735	B:min7
23.735	25.540	Gb:min7
25.540	27.340	B:min
27.340	28.245	Gb:min
28.245	29.150	B:min7
29.150	31.410	G:maj7
31.410	32.995	B:min
32.995	34.590	Db:min7
34.590	36.420	Gb:7
36.420	38.255	B:min7
38.255	40.100	E:7
40.100	41.025	A:sus4
41.025	41.940	G:maj
41.940	42.850	E:min
42.850	43.760	B:min
43.760	45.805	G:maj7
45.805	48.540	D:maj7
48.540	49.225	Gb:min7
49.225	50.820	B:min7
50.820	52.200	D:maj7
52.200	54.685	B:min7
54.685	56.480	Gb:min7
56.480	58.290	B:min
58.290	58.975	Gb:min
58.975	60.110	B:min7
60.110	63.725	G:maj7
63.725	65.540	Gb:sus4
65.540	67.375	Gb:7
67.375	71.050	Eb:maj7
71.050	74.680	G:min7
74.680	78.310	F:min7
78.310	82.200	G:sus4
82.200	84.035	C:maj7
84.035	85.620	E:min7
85.620	87.610	F:maj7
87.610	89.345	E:min7
89.345	91.085	F:maj7
91.085	91.965	E:min7
91.965	93.965	A:min7
93.965	94.640	B:7
94.640	96.430	E:7
96.430	101.805	E:min7
101.805	103.555	A:7
103.555	105.405	D:maj7
105.405	107.250	A:maj6
107.250	109.095	B:min7
109.095	110.940	D:maj7
110.940	112.080	B:min7
112.080	114.575	Gb:min
114.575	116.230	B:min7
116.230	118.190	Gb:min7
118.190	121.970	G:maj7
121.970	123.835	Gb:min7
123.835	125.715	B:min7
125.715	127.595	E:min7
127.595	129.470	A:sus4
129.470	131.555	A:min7
131.555	137.015	B:7
137.015	138.770	E:min7
138.770	140.590	Gb:min7
140.590	142.510	G:maj7
142.510	145.000	A:sus4
145.000	145.605	Gb:min7
145.605	147.995	E:min7
147.995	152.140	D:maj7
152.140	153.025	D:maj6
153.025	155.095	D:maj7
155.095	156.880	B:min7
156.880	157.770	Gb:min7
157.770	158.660	B:min7
158.660	162.225	E:min7
162.225	169.010	D:maj7
169.010	171.050	B:min7
171.050	172.805	Gb:min7
172.805	176.350	E:min7
176.350	183.485	D:maj7
183.485	185.250	B:min7
185.250	187.020	Gb:min
187.020	188.190	D:maj6
188.190	190.530	E:min7
190.530	194.065	D:maj7
194.065	195.820	D:maj6
195.820	199.325	D:maj7
199.325	201.110	Gb:min7
201.110	204.720	E:min7
204.720	207.785	D:maj7
207.785	210.667	N
