  0.000	  0.230	N
  0.230	  0.560	B:maj
  0.560	  2.280	C#:min
  2.280	  3.200	B:maj
  3.200	  5.200	C#:min
  5.200	  6.500	E:maj
  6.500	  7.520	A:maj
  7.520	  8.500	G#:min
  8.500	 10.450	F#:min7
 10.450	 11.700	B:maj
 11.700	 12.720	E:maj
 12.720	 13.650	B:maj
 13.650	 16.950	C#:min
 16.950	 17.970	A:maj
 17.970	 18.950	G#:min
 18.950	 20.850	F#:min7
 20.850	 22.110	B:maj
 22.110	 23.550	E:maj
 23.550	 24.150	B:maj
 24.150	 26.010	C#:min
 26.010	 27.350	E:maj
 27.350	 28.370	A:maj
 28.370	 29.300	G#:min
 29.300	 31.300	F#:min7
 31.300	 32.550	B:7
 32.550	 33.900	E:maj
 33.900	 34.500	G#:min
 34.500	 36.460	C#:min
 36.460	 37.850	E:maj
 37.850	 38.730	A:maj
 38.730	 39.200	C#:min
 39.200	 39.750	G#:min7
 39.750	 42.540	F#:min7
 42.540	 42.910	G:min7
 42.910	 48.110	G#:min
 48.110	 50.710	A:maj
 50.710	 53.270	B:maj
 53.270	 54.200	E:maj
 54.200	 55.170	G#:min
 55.170	 58.420	A:maj
 58.420	 60.420	B:maj
 60.420	 64.780	E:maj
 64.780	 65.620	G#:min
 65.620	 67.150	C#:min
 67.150	 68.870	E:maj
 68.870	 69.850	A:maj
 69.850	 70.820	G#:min
 70.820	 72.770	F#:min
 72.770	 74.070	B:7
 74.070	 75.090	E:maj
 75.090	 76.020	G#:min
 76.020	 77.600	C#:min
 77.600	 79.270	E:maj
 79.270	 80.290	A:maj
 80.290	 81.220	G#:min
 81.220	 84.060	F#:min
 84.060	 84.470	G:min
 84.470	 89.630	G#:min
 89.630	 92.280	A:maj
 92.280	 94.830	B:maj
 94.830	 95.810	E:maj
 95.810	 96.690	G#:min
 96.690	 99.890	A:maj
 99.890	100.870	F#:min
100.870	101.840	B:maj
101.840	104.680	E:maj
104.680	105.140	G:min7
105.140	110.250	G#:min
110.250	112.800	A:maj
112.800	115.400	B:maj
115.400	117.170	E:maj
117.170	119.400	C#:min
119.400	120.280	E:maj
120.280	120.600	C#:min
120.600	121.580	A:maj
121.580	122.510	G#:min
122.510	124.320	F#:min
124.320	126.730	E:maj
126.730	127.660	G#:min
127.660	129.660	C#:min
129.660	130.960	E:maj
130.960	131.940	A:maj
131.940	132.910	G#:min
132.910	134.820	F#:min7
134.820	136.070	B:7
136.070	137.140	E:maj
137.140	137.970	G#:min
137.970	139.880	C#:min
139.880	141.270	E:maj
141.270	142.250	A:maj
142.250	143.220	G#:min
143.220	145.170	F#:min
145.170	146.050	B:7
146.050	147.400	E:maj
147.400	152.510	N
